GroupID,|,TextID,Comment,ko,en,jp,zh,zh-cht,pt-br,pt,es-la,es,fr,de,ru
GreenBeads,|,Title,Booster,#GreenBeads# 치유 구슬,#GreenBeads# Healing Bead,#GreenBeads# ヒーリングオーブ,#GreenBeads# 治愈珠,#GreenBeads# 治愈珠,#GreenBeads# Orbe de Cura,#GreenBeads# Orbe de Cura,#GreenBeads# Orbe de Curación,#GreenBeads# Orbe Curativo,#GreenBeads# Perles de guérison,#GreenBeads# Heilperle,#GreenBeads# Лечебные бусины
GreenBeads,|,Comment,Booster,적을 처치할 때마다 5% 확률로 {L=+5}를 주는 구슬이 생성됩니다.,There's a 5% chance to generate a bead that provides {L=+5} when defeating an enemy.,敵を倒すたびに5%の確率で{L=+5}を与えるオーブが生成される。,每次击杀敌人时，有5%的概率生成可提供{L=+5}的珠子。,"每次擊敗敵人有 5% 機率生成 <Color=""#79D22A"">生命 5 恢復</} 球","A cada inimigo derrotado, há 5% de chance de gerar uma <Color=""#79D22A"">joia que recupera 5 de vida</}","A cada inimigo derrotado, há 5% de chance de gerar uma <Color=""#79D22A"">joia que restaura 5 de vida</}","Al eliminar a un enemigo, hay un 5% de probabilidad de que se genere una esfera que <Color=""#79D22A"">recupere 5 de salud</}","Cada vez que eliminas a un enemigo, hay un 5% de probabilidad de que se genere una esfera que <Color=""#79D22A"">recupere 5 de salud</}","À chaque fois qu'un ennemi est vaincu, une perle qui donne 5% de {L=+5} est générée avec une chance.","Bei jedem Töten eines Gegners besteht eine Wahrscheinlichkeit von 5%, dass eine Perle erzeugt wird, die {L=+5} gewährt.","При убийстве врага создается бусина с 5% шансом, дающая {L=+5}."
Diamond,|,Title,Booster,#Diamond# 레이더의 장갑,#Diamond# Hyena Armor,#Diamond# レイダーのグローブ,#Diamond# 鬣狗的盔甲,#Diamond# 探測器的手套,#Diamond# Luvas do Radar,Luvas do #Diamond# Radar,#Diamond# Guantes de radar,#Diamond# guantes del radar,#Diamond# gantelet du radar,#Diamond# Radars Handschuhe,#Diamond# перчатки рейдера
Diamond,|,Comment,Booster,"적을 처치해서 획득하는 {Key.BlueP}획득량이 <Color=""#79D22A"">100%</} 증가합니다.","</}Increases the amount of {Key.BlueP} gained from defeating an enemy by <Color=""#79D22A"">100%</} .","敵を倒して獲得する{Key.BlueP}の獲得量が<Color=""#79D22A"">100%</}増加する。","</}击杀敌人获得的{Key.BlueP}的数量增加<Color=""#79D22A"">100%</}。","擊敗敵人獲得的 {Key.BlueP} 獲得量 <Color=""#79D22A"">增加 100%</}","A quantidade de {Key.BlueP} obtida ao derrotar inimigos é <Color=""#79D22A"">aumentada em 100%</}","A quantidade de {Key.BlueP} obtida ao derrotar inimigos é <Color=""#79D22A"">aumentada em 100%</}","La cantidad de {Key.BlueP} obtenida al eliminar enemigos se <Color=""#79D22A"">aumenta en un 100%</}","La cantidad de {Key.BlueP} que obtienes al eliminar enemigos se <Color=""#79D22A"">aumenta en un 100%</}","La quantité de {Key.BlueP} obtenue en éliminant un ennemi augmente de <Color=""#79D22A"">100%</>.","Der {Key.BlueP}Ertrag, der durch das Besiegen von Feinden gewonnen wird, erhöht sich um <Color=""#79D22A"">100%</>.","Увеличение {Key.BlueP} получения, получаемого за уничтожение врага, <Color=""#79D22A"">на 100%</}."
Critical,|,Title,Booster,#Critical# 칼날 코팅,#Critical# Coated Blade,#Critical# ブレードコーティング,#Critical# 刀锋涂层,#Critical# 刀刃塗層,#Critical# Revestimento Cortante,#Critical# Revestimento de Lâmina,#Critical# Recubrimiento Afilado,#Critical# Revestimiento de Filo,#Critical# Revêtement de lame,#Critical# Klingenbeschichtung,#Critical# Наносенка ножом
Critical,|,Comment,Booster,"{Key.Crit} 확률이 <Color=""#79D22A"">30%</} 증가합니다.","Increases {Key.Crit} chance by <Color=""#79D22A"">30%</} .","{Key.Crit}確率が<Color=""#79D22A"">30%</}増加する。","{Key.Crit}几率增加<Color=""#79D22A"">30%</}。","{Key.Crit} 機率 <Color=""#79D22A"">增加 30%</}","A chance de {Key.Crit} é <Color=""#79D22A"">aumentada em 30%</}","A probabilidade de {Key.Crit} é <Color=""#79D22A"">aumentada em 30%</}","La probabilidad de {Key.Crit} se <Color=""#79D22A"">aumenta en un 30%</}","La probabilidad de {Key.Crit} se <Color=""#79D22A"">aumenta en un 30%</}","La probabilité de {Key.Crit} augmente de <Color=""#79D22A"">30%</>.","Die {Key.Crit} Wahrscheinlichkeit erhöht sich um <Color=""#79D22A"">30%</>.","Вероятность {Key.Crit} увеличена <Color=""#79D22A"">на 30%</}."
N Damage,|,Title,Booster,#Damage# 파워 강화,#Damage# Damage Enhancement,#Damage# パ워強化,#Damage# 力量强化,#Damage# 力量增強,#Damage# Aumento de Poder,#Damage# Reforço de Poder,#Damage# Refuerzo de Poder,#Damage# Potenciador de Poder,#Damage# Renforcement de la puissance,#Damage# Kraftverstärkung,#Damage# Усиление мощности
N Damage,|,Comment,Booster,일반 공격의 {Dmg=+50%} 증가합니다.,{Dmg=+50%} for Normal Attacks.,通常攻撃の{Dmg=+50%}。,普通攻击的{Dmg=+50%}。,普通攻擊的 {Dmg=+50%} 增加,Aumenta o {Dmg=+50%} do ataque normal,Aumento de {Dmg=+50%} nos ataques normais,Aumento de {Dmg=+50%} en ataques normales,Aumento de {Dmg=+50%} en ataques normales,Augmente les attaques normales de {Dmg=+50%}.,Der normale Angriff erhöht sich um {Dmg=+50%}.,Увеличение обычной атаки на {Dmg=+50%}.
Pill,|,Title,Booster,#Pill# 초회복약,#Pill# Super Recovery Pill,#Pill# 超回復薬,#Pill# 超强恢复药,#Pill# 超級回復藥,#Pill# Remédio Hiper,#Pill# Hiper Remédio,#Pill# Híper Remedio,#Pill# Hiperremedio,#Pill# Médicament de récupération instantanée,#Pill# Heilmittel,#Pill# Улучшенное восстановление
Pill,|,Comment,Booster,"교전 시작 시 최대 {Key.L}의 10%만큼 <Color=""#79D22A"">회복</}합니다.","<Color=""#79D22A"">Restores</} up to 10% of {Key.L} at the start of battle.","交戦開始時に最大{Key.L}の10%分<Color=""#79D22A"">回復</}する。","开始交战时，可<Color=""#79D22A"">恢复</}最多{Key.L}的10%。","交戰開始時最大 {Key.L} 的 10% 進行 <Color=""#79D22A"">恢復</}","Ao iniciar o combate, recupera <Color=""#79D22A"">10% do máximo de {Key.L}</}","Ao iniciar a luta, recupera <Color=""#79D22A"">10% do máximo de {Key.L}</}","Al iniciar un combate, se <Color=""#79D22A"">recupera</} un 10% del máximo {Key.L}","Al iniciar el combate, se <Color=""#79D22A"">recupera</} un 10% de {Key.L} como máximo","Au début du combat, vous récupérez <Color=""#79D22A"">10%</} de votre maximum de {Key.L}.","Zu Beginn des Kampfes wird nur <Color=""#79D22A"">10%</} von maximal {Key.L} <Color=""#79D22A"">wiederhergestellt</} .","В начале боя восстанавливает <Color=""#79D22A"">10%</} от максимума {Key.L}."
