GroupID,|,TextID,Comment,ko,en,jp,zh,zh-cht,pt-br,pt,es-la,es,fr,de,ru
Stretching,,Title,Metaprogress,스트레칭,Stretching,ストレッチング,伸展,伸展,Alongamento,Alongamento,Estiramiento,Estiramiento,Étirement,Dehnung,Растяжка
Stretching,,Comment,Metaprogress,{ASpd=+5%} 증가합니다.,{ASpd=+5%}.,{ASpd=+5%},{ASpd=+5%}。,{ASpd=+5%} 增加,{ASpd=+5%} aumento,{ASpd=+5%} aumento,{ASpd=+5%} aumento,{ASpd=+5%} aumento,{ASpd=+5%} augmente.,{ASpd=+5%} erhöht sich.,{ASpd=+5%} увеличивается.
ReactiveFootwork,,Title,Metaprogress,반응형 이동장치,Reactive Footwork,反応型フットワーク,反应式步伐,反應式步伐,Passos Reativos,Passos Reativos,Juego de pies reactivo,Juego de pies reactivo,Jeu de jambes réactif,Reaktives Fußwerk,Реактивная работа ног
ReactiveFootwork,,Comment,Metaprogress,하단 공격 직후 1초간 {Key.MSpd}<Select=0>+8% / +14% / +18%</} 증가합니다.,Increases {Key.MSpd}<Select=0>+8% / +14% / +18%</} for 1 second immediately after a low attack.,下段攻撃直後、1秒間 {Key.MSpd}<Select=0>+8% / +14% / +18%</} 増加します.,下段攻击后1秒内，{Key.MSpd}<Select=0>+8% / +14% / +18%</}增加。,在下段攻擊結束後1秒內，{Key.MSpd}<Select=0>+8% / +14% / +18%</} 提升。,"Após um ataque baixo, por 1 segundo {Key.MSpd}<Select=0>+8% / +14% / +18%</} aumenta.","Após um ataque baixo, por 1 segundo {Key.MSpd}<Select=0>+8% / +14% / +18%</} aumenta.","Tras un ataque inferior, durante 1 segundo {Key.MSpd}<Select=0>+8% / +14% / +18%</} aumenta.","Tras un ataque bajo, durante 1 segundo {Key.MSpd}<Select=0>+8% / +14% / +18%</} aumenta.","Pendant 1 seconde après une attaque basse, {Key.MSpd}<Select=0>+8% / +14% / +18%</} augmente.",Direkt nach einem unteren Angriff erhöht sich {Key.MSpd}<Select=0>+8% / +14% / +18%</} für 1 Sekunde.,Сразу после низкой атаки в течение 1 секунды {Key.MSpd}<Select=0>+8% / +14% / +18%</} увеличивается.
AltitudeStrike,,Title,Metaprogress,고도 타격,Altitude Strike,高度打撃,高空打击,高空打擊,Ataque de Altitude,Golpe de Altitude,Golpe de altitud,Golpe de altitud,Frappe d'altitude,Höhenangriff,Удар с высоты
AltitudeStrike,,Comment,Metaprogress,하단 공격이 높이에 따라 추가 피해량을 줍니다. (총 4단계),Downward attacks deal additional damage based on altitude. (Total 4 levels),下段攻撃は高さに応じて追加ダメージを与えます。 (全4段階),下方攻击会根据高度造成额外伤害。（共4阶段）,下段攻擊會根據高度造成額外傷害。（共4階段）,O ataque inferior causa dano adicional conforme a altura. (4 níveis no total),Ataques descendentes causam dano adicional conforme a altitude. (4 níveis no total),Los ataques descendentes infligen daño adicional según la altura. (4 niveles en total),Los ataques desde abajo infligen daño adicional según la altura. (4 niveles en total),Les attaques vers le bas infligent des dégâts supplémentaires selon la hauteur. (4 niveaux au total),Abwärtsangriffe richten je nach Höhe zusätzlichen Schaden an. (insgesamt 4 Stufen),Нисходящая атака наносит дополнительный урон в зависимости от высоты. (всего 4 уровня)
GroundBreaker,,Title,Metaprogress,지면 파괴자,Ground Breaker,地面破壊者,地面破坏者,地面破壞者,Quebrador do Solo,Quebrador do Solo,Destructor del suelo,Rompedor de suelo,Briseur de terrain,Bodenbrecher,Разрушитель земли
GroundBreaker,,Comment,Metaprogress,"하단 공격 피해량이 +50% 증가하고, 스킬 판정으로 적용됩니다.","+50% down attack damage, counts as skill.",下段攻撃ダメージ+50%、スキル判定として適用。,下段攻击伤害+50%，作为技能判定。,下段攻擊傷害+50%，作為技能判定。,"+50% dano de ataque baixo, conta como habilidade.","+50% dano de ataque baixo, conta como habilidade.","+50% daño de ataque bajo, cuenta como habilidad.","+50% daño de ataque bajo, cuenta como habilidad.","+50% de dégâts d'attaque basse, compte comme compétence.","+50% Schaden bei unterem Angriff, zählt als Fähigkeit.","+50% урона нижней атаки, считается навыком."
Integration,,Title,Metaprogress,융합,Fusion,融合,融合,融合,Fusão,Fusão,Fusión,Fusión,Fusion,Integration,Интеграция
Integration,,Comment,Metaprogress,"{Input.Down}{Input.Jump}으로 공중에서 <Color=""#FFFFFF"">수직 하단 공격</}을 할 수 있게 됩니다.","{Input.Down}{Input.Jump} allows you to perform a <Color=""#FFFFFF"">downward attack</} .","{Input.Down}{Input.Jump}で<Color=""#FFFFFF"">下段攻撃</}ができるようになります。","{Input.Down}{Input.Jump}可以进行<Color=""#FFFFFF"">下方攻击</}。","{Input.Down}{Input.Jump}可以進行<Color=""#FFFFFF"">下方攻擊</}。","{Input.Down}{Input.Jump} permite realizar um <Color=""#FFFFFF"">ataque baixo</} .","{Input.Down}{Input.Jump} permite realizar um <Color=""#FFFFFF"">ataque baixo</} .","{Input.Down}{Input.Jump} para realizar un <Color=""#FFFFFF"">ataque bajo</} .","{Input.Down}{Input.Jump} te permitirá realizar un <Color=""#FFFFFF"">ataque bajo</} .","Vous pouvez effectuer une <Color=""#FFFFFF"">attaque basse</} en utilisant {Input.Down}{Input.Jump}.","{Input.Down}{Input.Jump} ermöglicht es, <Color=""#FFFFFF"">einen unteren Angriff</} auszuführen.","{Input.Down}{Input.Jump} позволяет выполнить <Color=""#FFFFFF"">низкий удар</} ."
EmergencyInstinct,,Title,Metaprogress,비상 본능,Emergency Instinct,緊急本能,紧急本能,緊急本能,Instinto de Emergência,Instinto de Emergência,Instinto de Emergencia,Instinto de Emergencia,Instinct d'urgence,Notfall-Instinkt,Инстинкт выживания
