GroupID,|,TextID,Comment,ko,en,jp,zh,zh-cht,pt-br,pt,es-la,es,fr,de,ru
LightningRod,|,Title,Skill,낙뢰,Thunderbolt,落雷,天罚,天雷召喚,Golpe Trovejante,Pancada Trovejante,Golpe Trueno,Golpe Trueno,Foudre,Blitzschlag,Удар молнии
LightningRod,|,Comment,Skill,"큰 번개를 던지며 {Elec=5} 입힙니다. 주변은 <Color=""#FFFFFF"">전자기 지대</>가 되며 <Color=""#FFFFFF"">0.5초</>마다 {Dmg=2}와 {Elec=3}를 입힙니다.","Summons lightning dealing {Elec=5}, creating a <Color=""#FFFFFF"">Shock field</> which deals {Dmg=2} and {Elec=3} every 0.5s ","<Color=""#FFFFFF"">その場</>에 큰 雷が落ち、{Elec=5}を与える。周囲は<Color=""#FFFFFF"">電磁場</>となり、<Color=""#FFFFFF"">0.5秒</>ごとに{Dmg=2}と{Elec=3}を与える。","<Color=""#FFFFFF"">原地</>落下一道巨型闪电，造成{Elec=5}伤害。周围变成<Color=""#FFFFFF"">电磁区</>，每<Color=""#FFFFFF"">0.5秒</>造成{Dmg=2}和{Elec=3}。","投擲出巨大的閃電 {Elec=5}。周圍變成<Color=""#FFFFFF"">電磁區域</>，每<Color=""#FFFFFF"">0.5秒</>造成{Dmg=2}和{Elec=3}的傷害。","Lança um grande raio, causando {Elec=5}. O entorno se torna <Color=""#FFFFFF"">uma área eletromagnética</> e causa {Dmg=2} e {Elec=3} a cada <Color=""#FFFFFF"">0.5 s</>.","Lança um grande raio e causa {Elec=5} de dano. A área ao redor se torna <Color=""#FFFFFF"">uma zona eletromagnética</> e causa {Dmg=2} e {Elec=3} a cada <Color=""#FFFFFF"">0,5 s</>.","Lanza un gran rayo {Elec=5}. El área circundante se convierte en <Color=""#FFFFFF"">un campo electromagnético</> y cada <Color=""#FFFFFF"">0.5 s</> inflige {Dmg=2} y {Elec=3}.","Lanza un gran rayo y causa {Elec=5}. El área circundante se convierte en <Color=""#FFFFFF"">zona electromagnética</> y causa {Dmg=2} y {Elec=3} cada <Color=""#FFFFFF"">0.5 s</>.","Lance une grosse décharge électrique, infligeant {Elec=5}. La zone devient un <Color=""#FFFFFF"">champ électromagnétique</> qui inflige {Dmg=2} et {Elec=3} toutes les <Color=""#FFFFFF"">0.5 s</>.","Wirft einen großen Blitz, der {Elec=5} verursacht. Die Umgebung wird zu einem <Color=""#FFFFFF"">elektromagnetischen Feld</>, das <Color=""#FFFFFF"">alle 0,5 s</> {Dmg=2} und {Elec=3} verursacht.","Бросает большую молнию, нанося {Elec=5}. Окрестности становятся <Color=""#FFFFFF"">электромагнитной зоной</>, нанося {Dmg=2} и {Elec=3} каждые <Color=""#FFFFFF"">0.5 с</>."
LightningRod,|,Damage,Skill,피해량 :{Dmg=50},Damage: {Dmg=50},ダメージ:{Dmg=50},伤害值：{Dmg=50},傷害量 : {Dmg=50},Dano: {Dmg=50},Dano: {Dmg=50},Daño: {Dmg=50},Daño : {Dmg=50},Dégâts : {Dmg=50},Schaden: {Dmg=50},Урон :{Dmg=50}
FireWave,|,Title,Skill,파이어웨이브,Flame Wave,ファイアウェーブ,地火,炎途蔓延,Onda Incandescente,Onda Incandescente,Ola Ardiente,Ola de Llamas,Vague de feu,Feuerwelle,Огненная волна
FireWave,|,Comment,Skill,"불 길을 일으켜 {Burn=5} 입힙니다. 이후 주변이 <Color=""#FFFFFF"">화염 지대</>가 되며 <Color=""#FFFFFF"">0.5초</>마다 {Burn=1}를 입힙니다.","Ignites a fiery path, dealing {Burn=5}. Creates a <Color=”#FFFFFF”>Flame field</> dealing {Burn=1} every <Color=”#FFFFFF”>0.5s</>.","炎を発生させ、{Burn=5}を与える。その後、周囲は<Color=""#FFFFFF"">炎の地帯</>となり、<Color=""#FFFFFF"">0.5秒</>ごとに{Burn=1}を与える。","燃起一道火焰，造成{Burn=5}。之后，周围变成<Color=""#FFFFFF"">火焰区</>，每<Color=""#FFFFFF"">0.5秒</>造成{Burn=1}。","引發火焰之路 {Burn=5}。之後周圍變成<Color=""#FFFFFF"">火焰區域</>，每<Color=""#FFFFFF"">0.5秒</>造成{Burn=1}的傷害。","Cria um caminho de fogo, causando {Burn=5}. Em seguida, o entorno se torna <Color=""#FFFFFF"">uma área de chamas</> e causa {Burn=1} a cada <Color=""#FFFFFF"">0.5 s</>.","Cria um caminho de fogo e causa {Burn=5} de dano. Depois, a área ao redor se torna <Color=""#FFFFFF"">uma zona de chamas</> e causa {Burn=1} a cada <Color=""#FFFFFF"">0,5 s</>.","Provoca un camino de fuego {Burn=5}. Luego, el área circundante se convierte en <Color=""#FFFFFF"">un campo de llamas</> y cada <Color=""#FFFFFF"">0.5 s</> inflige {Burn=1}.","Levanta una senda de fuego y causa {Burn=5}. Luego, el área circundante se convierte en <Color=""#FFFFFF"">zona de llamas</> y causa {Burn=1} cada <Color=""#FFFFFF"">0.5 s</>.","Crée une traînée de feu, infligeant {Burn=5}. La zone devient ensuite une <Color=""#FFFFFF"">zone de flammes</> qui inflige {Burn=1} toutes les <Color=""#FFFFFF"">0.5 s</>.","Erzeugt eine Feuerflut, die {Burn=5} verursacht. Danach wird die Umgebung zu einem <Color=""#FFFFFF"">Flammenfeld</>, das <Color=""#FFFFFF"">alle 0,5 s</> {Burn=1} verursacht.","Вызывает огненный путь, нанося {Burn=5}. После этого окрестности становятся <Color=""#FFFFFF"">огненной зоной</>, нанося {Burn=1} каждые <Color=""#FFFFFF"">0.5 с</>."
FireWave,|,Damage,Skill,피해량 :{Dmg=6} x 10번,Damage: {Dmg=6} x 10 hits,ダメージ:{Dmg=6}×10回,伤害值：{Dmg=6} x 10次,傷害量 :{Dmg=6} x 10次,Dano: {Dmg=6} x 10 vezes,Dano: {Dmg=6} x 10 vezes,Daño: {Dmg=6} x 10 veces,Daño :{Dmg=6} x 10 veces,Dégâts : {Dmg=6} x 10 fois,Schaden: {Dmg=6} x 10 mal,Урон :{Dmg=6} x 10 раз
DoubleTurnAtk,|,Title,Skill,하이퍼 러쉬,Super Dash,ハイパーラッシュ,斩光,超速風割,Ataque Rápido,Golpe Rápido,Golpe Veloz,Golpe Ágil,Ruée Hyper,Hyper-Ansturm,Гиперрывок
DoubleTurnAtk,|,Comment,Skill,"전방으로 이동하며 <Color=""#FFFFFF"">두 번</> 크게 휘두릅니다. {Key.Crit} 시 피해가 <Color=""#FFFFFF"">2배로 적용</>됩니다. ","Dashes forward and delivers <Color=""#FFFFFF"">two</> powerful slashes. Deals <Color=""#FFFFFF"">2x damage</> on {Key.Crit}.","前方に移動しながら<Color=""#FFFFFF"">2回</>大きく斬りつける。{Key.Crit}発動時、ダメージが<Color=""#FFFFFF"">2倍</>になる。","向前移动并强力斩击<Color=""#FFFFFF"">两次</>。触发{Key.Crit}时，伤害<Color=""#FFFFFF"">翻倍</>。","向前移動並強力斬擊<Color=""#FFFFFF"">兩次</>。觸發{Key.Crit}時，傷害<Color=""#FFFFFF"">翻倍</>。","Avança e golpeia com força <Color=""#FFFFFF"">duas vezes</>. Quando {Key.Crit} é ativado, o dano é <Color=""#FFFFFF"">duplicado</>.","Avança e golpeia com força <Color=""#FFFFFF"">duas vezes</>. Quando {Key.Crit} é ativado, o dano é <Color=""#FFFFFF"">duplicado</>.","Avanza hacia adelante y golpea con fuerza <Color=""#FFFFFF"">dos veces</>. Con {Key.Crit}, el daño se <Color=""#FFFFFF"">duplica</>.","Avanza hacia delante y golpea con fuerza <Color=""#FFFFFF"">dos veces</>. Con {Key.Crit}, el daño se <Color=""#FFFFFF"">duplica</>.","Se déplace vers l'avant et frappe violemment <Color=""#FFFFFF"">deux fois</>. En cas de {Key.Crit}, les dégâts sont <Color=""#FFFFFF"">doublés</>.","Bewegt sich vorwärts und schlägt kräftig <Color=""#FFFFFF"">zweimal</>. Bei {Key.Crit} wird der Schaden <Color=""#FFFFFF"">verdoppelt</>.","Перемещается вперёд и мощно атакует <Color=""#FFFFFF"">дважды</>. При {Key.Crit} урон <Color=""#FFFFFF"">удваивается</>."
DoubleTurnAtk,|,Damage,Skill,피해량 :{Dmg=12} x 6번,Damage: {Dmg=12} x 6 hits,ダメージ:{Dmg=12}×6回,伤害值：{Dmg=12} x 6次,傷害量 :{Dmg=12} x 6次,Dano: {Dmg=12} x 6 vezes,Dano: {Dmg=12} x 6 vezes,Daño: {Dmg=12} x 6 veces,Daño :{Dmg=12} x 6 veces,Dégâts : {Dmg=12} x 6 fois,Schaden: {Dmg=12} x 6 mal,Урон :{Dmg=12} x 6 раз
LigtningStatic,|,Title,Skill,전자기 충격,Electromagnetic Shock,電磁ショック,电光一闪,電磁穿刺,Estocada Trovejante,Jab Trovejante,Estocada Trueno,Puñalada Trueno,Choc électromagnétique,Elektromagnetischer Schock,Электромагнитный шок
